id,address,match_type,suburb_name,sa2_code
2033,"10 Woods Ridge Road, Kawau Island, Hauraki Gulf Islands",no_match,,
2439,"10 Yarlside Place, Northpark, Manukau City",containment_match,Northpark North,153700
3177,"10/137 Tirimoana Road, Te Atatu South, Waitakere City",containment_match,Te Atatū South-North,127001
1044,"10/258 Hurstmere Road, Takapuna, North Shore City",containment_match,Takapuna West,126601
1310,"10/28 Nevill Road, Hobsonville, Waitakere City",containment_match,Hobsonville,119201
2178,"10/57 Gladstone Road, Northcote, North Shore City",containment_match,Northcote,320501
905,"100 Anzac Avenue, Auckland Central, Auckland City",no_match,,
1570,"100 Fairview Crescent, Omiha, Waiheke Island",no_match,,
1024,"100 Greys Avenue, Auckland Central, Auckland City",no_match,,
1171,"100 Greys Avenue, Auckland Central, Auckland City",no_match,,
3230,"100 Hauora Lane, Waitoki, Rodney",containment_match,Waitoki,112500
1631,"100 Seaview Road, Piha, Waitakere City",containment_match,Piha,124100
3153,"1002/1 Greys Avenue, Auckland Central, Auckland City",no_match,,
3061,"1003/10 Commerce Street, Auckland Central, Auckland City",no_match,,
2961,"1004/141 Pakenham Street, Auckland Central, Auckland City",no_match,,
3298,"1004/30 Beach Road, Auckland Central, Auckland City",no_match,,
2800,"1005 Pakiri Road, Pakiri, Rodney",no_match,,
251,"100E Seymour Road, Sunnyvale, Waitakere City",containment_match,Sunnyvale East,129101
1476,"101 Bayside Drive, Browns Bay, North Shore City",containment_match,Browns Bay Central,118300
380,"101 Church Street, Otahuhu, Auckland City",containment_match,Ōtāhuhu East,150900
831,"101 Grange Street, Warkworth, Rodney",containment_match,Warkworth West,111100
3375,"101 Pine Harbour Parade, Beachlands, Manukau City",no_match,,
616,"101 Taylor Road, Waimauku, Rodney",containment_match,Waimauku,114201
3198,"101/23A Pollen Street, Grey Lynn, Auckland City",containment_match,Grey Lynn West,132100
2580,"101/25A Pennant Street, Long Bay, North Shore City",containment_match,Long Bay,116500
1972,"101/5 Howe Street, Freemans Bay, Auckland City",containment_match,Freemans Bay,131801
4083,"10-12 Clendon Place, Manurewa, Manukau City",containment_match,Manurewa East,160800
241,"1013/438 Queen Street, Auckland Central, Auckland City",no_match,,
1795,"1015/135 Hobson Street, Auckland Central, Auckland City",no_match,,
2412,"101a Portland Road, Remuera, Auckland City",containment_match,Remuera West,139400
263,"102 Blackbridge Road, Dairy Flat, Rodney",containment_match,Dairy Flat West,113500
485,"102 Borich Road, Sunnyvale, Waitakere City",containment_match,Sunnyvale East,129101
1700,"102 Cascades Road, Pakuranga Heights, Manukau City",containment_match,Pakuranga Heights East,150700
1577,"102 Thomas Road, Flat Bush, Manukau City",no_match,,
2337,"102 Tirimoana Road, Te Atatu South, Waitakere City",containment_match,Te Atatū South-North,127001
2994,"102/25C Pennant Street, Long Bay, North Shore City",containment_match,Long Bay,116500
404,"10-20 Recovery Road, Papakura, Papakura",containment_match,Papakura West,162800
2692,"102a Te Oneroa Way, Long Bay, North Shore City",containment_match,Long Bay,116500
1186,"102B/147 Nelson Street, Auckland Central, Auckland City",no_match,,
697,"103 Station Road, Kumeu, Rodney",containment_match,Kumeū Rural East,116101
3911,"103/14 Edgerley Avenue, Epsom, Auckland City",containment_match,Epsom East,141500
1681,"103/223A Green Lane West, Epsom, Auckland City",containment_match,Epsom East,141500
2249,"103a Point Chevalier Road, Point Chevalier, Auckland City",containment_match,Point Chevalier West,129201
2655,"103G Glengarry Road, Glen Eden, Waitakere City",containment_match,Glen Eden West,129600
1931,"103H Mays Road, Onehunga, Auckland City",containment_match,Onehunga West,144101
797,"104 Argent Lane, Milldale, Rodney",containment_match,Milldale,113401
2611,"104 Botany Road, Botany Downs, Manukau City",containment_match,Botany Downs West,152201
2424,"104 Cooper Road, Waiuku, Franklin",containment_match,Waiuku East,164800
1309,"104 Tukutata Crescent, Milldale, Rodney",containment_match,Milldale,113401
